GRE Score;TOEFL Score;SOP;LOR ;CGPA;University Rating
337;118;4.5;4.5;9.65;4
324;107;4;4.5;8.87;4
316;104;3;3.5;8;3
322;110;3.5;2.5;8.67;3
314;103;2;3;8.21;2
330;115;4.5;3;9.34;5
321;109;3;4;8.2;3
308;101;3;4;7.9;2
302;102;2;1.5;8;1
323;108;3.5;3;8.6;3
325;106;3.5;4;8.4;3
327;111;4;4.5;9;4
328;112;4;4.5;9.1;4
307;109;4;3;8;3
311;104;3.5;2;8.2;3
314;105;3.5;2.5;8.3;3
317;107;4;3;8.7;3
319;106;4;3;8;3
318;110;4;3;8.8;3
303;102;3.5;3;8.5;3
312;107;3;2;7.9;3
325;114;3;2;8.4;4
328;116;5;5;9.5;5
334;119;5;4.5;9.7;5
336;119;4;3.5;9.8;5
340;120;4.5;4.5;9.6;5
322;109;4.5;3.5;8.8;5
298;98;1.5;2.5;7.5;2
295;93;2;2;7.2;1
310;99;1.5;2;7.3;2
300;97;3;3;8.1;2
327;103;4;4;8.3;3
338;118;3;4.5;9.4;4
340;114;4;4;9.6;5
331;112;4;5;9.8;5
320;110;5;5;9.2;5
299;106;4;4;8.4;2
300;105;1;2;7.8;1
304;105;3;1.5;7.5;1
307;108;4;3.5;7.7;2
308;110;3.5;3;8;3
316;105;2.5;2.5;8.2;2
313;107;2.5;2;8.5;2
332;117;4.5;4;9.1;4
326;113;4.5;4;9.4;5
322;110;5;4;9.1;5
329;114;4;5;9.3;5
339;119;4.5;4;9.7;5
321;110;3.5;5;8.85;3
327;111;3;4;8.4;4
313;98;2.5;4.5;8.3;3
312;100;1.5;3.5;7.9;2
334;116;4;3;8;4
324;112;4;2.5;8.1;4
322;110;3;3.5;8;3
320;103;3;3;7.7;3
316;102;2;3;7.4;3
298;99;4;2;7.6;2
300;99;3;2;6.8;1
311;104;2;2;8.3;2
309;100;3;3;8.1;2
307;101;4;3;8.2;3
304;105;3;3;8.2;2
315;107;4;3;8.5;2
325;111;3;3.5;8.7;3
325;112;3.5;3.5;8.92;4
327;114;3;3;9.02;3
316;107;3.5;3.5;8.64;2
318;109;3.5;4;9.22;3
328;115;4.5;4;9.16;4
332;118;5;5;9.64;5
336;112;5;5;9.76;5
321;111;5;5;9.45;5
314;108;4.5;4;9.04;4
314;106;3;5;8.9;3
329;114;2;4;8.56;2
327;112;3;3;8.72;3
301;99;3;2;8.22;2
296;95;3;2;7.54;2
294;93;1.5;2;7.36;1
312;105;2;3;8.02;3
340;120;5;5;9.5;4
320;110;5;4.5;9.22;5
322;115;4;4.5;9.36;5
340;115;4.5;4.5;9.45;5
319;103;4.5;3.5;8.66;4
315;106;4.5;3.5;8.42;3
317;107;3.5;3;8.28;2
314;108;4.5;3.5;8.14;3
316;109;4.5;3.5;8.76;4
318;106;4;4;7.92;2
299;97;5;3.5;7.66;3
298;98;4;3;8.03;2
301;97;3;3;7.88;2
303;99;2;2.5;7.66;3
304;100;1.5;2.5;7.84;4
306;100;3;3;8;2
331;120;4;4;8.96;3
332;119;5;4.5;9.24;4
323;113;4;4;8.88;3
322;107;3.5;3.5;8.46;3
312;105;2.5;3;8.12;2
314;106;4;3.5;8.25;2
317;104;4.5;4;8.47;2
326;112;3.5;3;9.05;3
316;110;4;4.5;8.78;3
329;111;4.5;4.5;9.18;4
338;117;3.5;4.5;9.46;4
331;116;5;5;9.38;5
304;103;5;4;8.64;5
305;108;3;3;8.48;5
321;109;4;4;8.68;4
301;107;3.5;3.5;8.34;3
320;110;4;3.5;8.56;2
311;105;3.5;3;8.45;3
310;106;4.5;4.5;9.04;4
299;102;4;3.5;8.62;3
290;104;2;2.5;7.46;4
296;99;3;3.5;7.28;2
327;104;3;3.5;8.84;5
335;117;5;5;9.56;5
334;119;4.5;4.5;9.48;5
310;106;1.5;2.5;8.36;4
308;108;3.5;3.5;8.22;3
301;106;2.5;3;8.47;4
300;100;2;3;8.66;3
323;113;4;3;9.32;3
319;112;2.5;2;8.71;3
326;112;3.5;3;9.1;3
333;118;5;5;9.35;5
339;114;4;4.5;9.76;5
303;105;5;4.5;8.65;5
309;105;3.5;3.5;8.56;5
323;112;4;4.5;8.78;5
333;113;4;4;9.28;5
314;109;3.5;4;8.77;4
312;103;5;4;8.45;3
316;100;1.5;3;8.16;2
326;116;4.5;3;9.08;2
318;109;3.5;3.5;9.12;1
329;110;4;3;9.15;2
332;118;4.5;3.5;9.36;2
331;115;4;3.5;9.44;5
340;120;4.5;4;9.92;4
325;112;3;3.5;8.96;2
320;113;2;2.5;8.64;2
315;105;2;2.5;8.48;3
326;114;3;3;9.11;3
339;116;4;3.5;9.8;4
311;106;3.5;3;8.26;2
334;114;4;4;9.43;4
332;116;5;5;9.28;5
321;112;5;5;9.06;5
324;105;3;4;8.75;3
326;108;3;3.5;8.89;3
312;109;3;3;8.69;3
315;105;2;2.5;8.34;3
309;104;2;2.5;8.26;2
306;106;2;2.5;8.14;2
297;100;1.5;2;7.9;1
315;103;1.5;2;7.86;1
298;99;1.5;3;7.46;1
318;109;3;3;8.5;3
317;105;3.5;3;8.56;3
329;111;4.5;4;9.01;4
322;110;4.5;4;8.97;5
302;102;3.5;5;8.33;3
313;102;2;3;8.27;3
293;97;2;4;7.8;2
311;99;2.5;3;7.98;2
312;101;2.5;3.5;8.04;2
334;117;4;4.5;9.07;5
322;110;4;5;9.13;4
323;113;4;4.5;9.23;4
321;111;4;4;8.97;4
320;111;4.5;3.5;8.87;4
329;119;4.5;4.5;9.16;4
319;110;3.5;3.5;9.04;3
309;108;2.5;3;8.12;3
307;102;3;3;8.27;3
300;104;3.5;3;8.16;3
305;107;2.5;2.5;8.42;2
299;100;3;3.5;7.88;2
314;110;4;4;8.8;3
316;106;2.5;4;8.32;2
327;113;4.5;4.5;9.11;4
317;107;3.5;3;8.68;3
335;118;4.5;3.5;9.44;5
331;115;4.5;3.5;9.36;5
324;112;5;5;9.08;5
324;111;4.5;4;9.16;5
323;110;4;5;8.98;5
322;114;4.5;4;8.94;5
336;118;4.5;5;9.53;5
316;109;3.5;3;8.76;3
307;107;3;3.5;8.52;2
306;105;3;2.5;8.26;2
310;106;3.5;2.5;8.33;2
311;104;4.5;4.5;8.43;3
313;107;4;4.5;8.69;3
317;103;2.5;3;8.54;3
315;110;3.5;3;8.46;2
340;120;4.5;4.5;9.91;5
334;120;4;5;9.87;5
298;105;3.5;4;8.54;3
295;99;2.5;3;7.65;2
315;99;3.5;3;7.89;2
310;102;3.5;4;8.02;3
305;106;3;3;8.16;2
301;104;3.5;4;8.12;3
325;108;4.5;4;9.06;4
328;110;5;4;9.14;4
338;120;5;5;9.66;4
333;119;5;4.5;9.78;5
331;117;4.5;5;9.42;4
330;116;5;4.5;9.36;5
322;112;4.5;4.5;9.26;4
321;109;4;4;9.13;4
324;110;3;3.5;8.97;4
312;104;3.5;3.5;8.42;3
313;103;4;4;8.75;3
316;110;3.5;4;8.56;3
324;113;4.5;4;8.79;4
308;109;3;4;8.45;2
305;105;3;2;8.23;2
296;99;2.5;2.5;8.03;2
306;110;3.5;4;8.45;2
312;110;3.5;3;8.53;2
318;112;4;3.5;8.67;3
324;111;3;3;9.01;4
313;104;4;4.5;8.65;3
319;106;3.5;2.5;8.33;3
312;107;2.5;3.5;8.27;2
304;100;2.5;3.5;8.07;2
330;113;5;4;9.31;5
326;111;4.5;4;9.23;5
325;112;4;4.5;9.17;4
329;114;4.5;5;9.19;5
310;104;2;3.5;8.37;3
299;100;1.5;2;7.89;1
296;101;2.5;3;7.68;1
317;103;2.5;2;8.15;2
324;115;3.5;3;8.76;3
325;114;3.5;3;9.04;3
314;107;2.5;4;8.56;2
328;110;4;2.5;9.02;4
316;105;3;3.5;8.73;3
311;104;2.5;3.5;8.48;2
324;110;3.5;4;8.87;3
321;111;3.5;4;8.83;3
320;104;3;2.5;8.57;3
316;99;2.5;3;9;2
318;100;2.5;3.5;8.54;2
335;115;4.5;4.5;9.68;4
321;114;4;5;9.12;4
307;110;4;4.5;8.37;4
309;99;4;4;8.56;3
324;100;4;5;8.64;3
326;102;5;5;8.76;4
331;119;5;4.5;9.34;4
327;108;5;3.5;9.13;5
312;104;3.5;4;8.09;3
308;103;2.5;4;8.36;2
324;111;2.5;1.5;8.79;3
325;110;3;2.5;8.76;2
313;102;2.5;2.5;8.68;3
312;105;2;2.5;8.45;2
314;107;3;3.5;8.17;3
327;113;4.5;5;9.14;4
308;108;4.5;5;8.34;4
306;105;2.5;3;8.22;2
299;96;1.5;2;7.86;2
294;95;1.5;1.5;7.64;1
312;99;1;1.5;8.01;1
315;100;2;2.5;7.95;1
322;110;3.5;3;8.96;3
329;113;5;4.5;9.45;5
320;101;2.5;3;8.62;2
308;103;3;3.5;8.49;2
304;102;3;4;8.73;2
311;102;4.5;4;8.64;3
317;110;4;4.5;9.11;3
312;106;4;3.5;8.79;3
321;111;2.5;3;8.9;3
340;112;5;4.5;9.66;4
331;116;4;4;9.26;5
336;118;4.5;4;9.19;5
324;114;5;4.5;9.08;5
314;104;5;5;9.02;4
313;109;4;3.5;9;3
307;105;2.5;3;7.65;2
300;102;1.5;2;7.87;2
302;99;1;2;7.97;2
312;98;3.5;3;8.18;1
316;101;2.5;2;8.32;2
317;100;3;2.5;8.57;2
310;107;3.5;3.5;8.67;3
320;120;4;4.5;9.11;3
330;114;4.5;4.5;9.24;3
305;112;3;3.5;8.65;3
309;106;2.5;2.5;8;2
319;108;2.5;3;8.76;2
322;105;3;3;8.45;2
323;107;3.5;3.5;8.55;3
313;106;2.5;2;8.43;2
321;109;3.5;3.5;8.8;3
323;110;4;3.5;9.1;3
325;112;4;4;9;4
312;108;3.5;3;8.53;3
308;110;3.5;3;8.6;4
320;104;3;3.5;8.74;3
328;108;4.5;4;9.18;4
311;107;4.5;4.5;9;4
301;100;3.5;3;8.04;3
305;105;3;4;8.13;2
308;104;2.5;3;8.07;2
298;101;1.5;2;7.86;2
300;99;1;2.5;8.01;1
324;111;2.5;2;8.8;3
327;113;3.5;3;8.69;4
317;106;4;3.5;8.5;3
323;104;4;4;8.44;3
314;107;2.5;4;8.27;2
305;102;2;2.5;8.18;2
315;104;3;2.5;8.33;3
326;116;3.5;4;9.14;3
299;100;2;2;8.02;3
295;101;2.5;2;7.86;2
324;112;4;3.5;8.77;4
297;96;2.5;1.5;7.89;2
327;113;3.5;3;8.66;3
311;105;3;2;8.12;2
308;106;3.5;2.5;8.21;3
319;108;3;3.5;8.54;3
312;107;4.5;4;8.65;4
325;111;4;4.5;9.11;4
319;110;3;2.5;8.79;3
332;118;5;5;9.47;5
323;108;4;4;8.74;5
324;107;3.5;4;8.66;5
312;107;3;3;8.46;3
326;110;3.5;3.5;8.76;3
308;106;3;3;8.24;3
305;103;2.5;3.5;8.13;2
295;96;1.5;2;7.34;2
316;98;1.5;2;7.43;1
304;97;1.5;2;7.64;2
299;94;1;1;7.34;1
302;99;2;2;7.25;1
313;101;2.5;3;8.04;3
318;107;3;3.5;8.27;3
325;110;3.5;4;8.67;4
303;100;3;3.5;8.06;2
300;102;3.5;2.5;8.17;3
297;98;2.5;3;7.67;2
317;106;2;3.5;8.12;2
327;109;3.5;4;8.77;3
301;104;3.5;3.5;7.89;2
314;105;2.5;2;7.64;2
321;107;2;1.5;8.44;2
322;110;4;5;8.64;3
334;116;4;3.5;9.54;4
338;115;4.5;5;9.23;5
306;103;2.5;3;8.36;2
313;102;3.5;4;8.9;3
330;114;4.5;3;9.17;4
320;104;3.5;4.5;8.34;3
311;98;1;2.5;7.46;1
298;92;2;2;7.88;1
301;98;2;3;8.03;1
310;103;2.5;2.5;8.24;2
324;110;3.5;3;9.22;3
336;119;4.5;4;9.62;4
321;109;3;3;8.54;3
315;105;2;2.5;7.65;2
304;101;2;2.5;7.66;2
297;96;2.5;2;7.43;2
290;100;1.5;2;7.56;1
303;98;2;2.5;7.65;1
311;99;2.5;3;8.43;1
322;104;3.5;4;8.84;3
319;105;3;3.5;8.67;3
324;110;4.5;4;9.15;4
300;100;3;3.5;8.26;3
340;113;5;5;9.74;4
335;117;5;5;9.82;5
302;101;2.5;3.5;7.96;2
307;105;2;3.5;8.1;2
296;97;1.5;2;7.8;2
320;108;3.5;4;8.44;3
314;102;2;2.5;8.24;2
318;106;2;3;8.65;3
326;112;4;3.5;9.12;4
317;104;3;3;8.76;2
329;111;4.5;4;9.23;4
324;110;3.5;3.5;9.04;3
325;107;3;3.5;9.11;3
330;116;5;4.5;9.45;4
312;103;3.5;4;8.78;3
333;117;5;4;9.66;4
